Date,Type,Total_Sales,Forecast,Forecast_Lower,Forecast_Upper,Transaction_Count,Total_Quantity
2014-04-12,Actual,1912.123,1912.123,1912.123,1912.123,3.0,35.0
2014-04-13,Actual,638.576,638.576,638.576,638.576,2.0,42.0
2014-04-15,Actual,294.72,294.72,294.72,294.72,1.0,6.0
2014-04-16,Actual,39.072,39.072,39.072,39.072,1.0,6.0
2014-04-18,Actual,1020.532,1020.532,1020.532,1020.532,2.0,26.0
2014-04-19,Actual,205.47,205.47,205.47,205.47,2.0,17.0
2014-04-20,Actual,1250.45,1250.45,1250.45,1250.45,2.0,16.0
2014-04-21,Actual,845.36,845.36,845.36,845.36,2.0,11.0
2014-04-22,Actual,257.752,257.752,257.752,257.752,1.0,11.0
2014-04-23,Actual,643.98,643.98,643.98,643.98,3.0,20.0
2014-04-25,Actual,2379.994,2379.994,2379.994,2379.994,3.0,21.0
2014-04-26,Actual,282.568,282.568,282.568,282.568,2.0,16.0
2014-04-28,Actual,2578.476,2578.476,2578.476,2578.476,4.0,29.0
2014-04-29,Actual,768.8439999999999,768.8439999999999,768.8439999999999,768.8439999999999,4.0,16.0
2014-04-30,Actual,1048.74,1048.74,1048.74,1048.74,2.0,13.0
2014-05-02,Actual,506.12,506.12,506.12,506.12,2.0,5.0
2014-05-03,Actual,72.632,72.632,72.632,72.632,2.0,13.0
2014-05-04,Actual,187.432,187.432,187.432,187.432,4.0,25.0
2014-05-05,Actual,260.977,260.977,260.977,260.977,4.0,15.0
2014-05-06,Actual,254.456,254.456,254.456,254.456,2.0,16.0
2014-05-07,Actual,1091.35,1091.35,1091.35,1091.35,1.0,12.0
2014-05-08,Actual,1799.97,1799.97,1799.97,1799.97,1.0,5.0
2014-05-09,Actual,394.48,394.48,394.48,394.48,2.0,25.0
2014-05-10,Actual,2343.799,2343.799,2343.799,2343.799,3.0,34.0
2014-05-11,Actual,1642.802,1642.802,1642.802,1642.802,5.0,32.0
2014-05-12,Actual,734.846,734.846,734.846,734.846,2.0,10.0
2014-05-13,Actual,898.382,898.382,898.382,898.382,4.0,23.0
2014-05-14,Actual,310.88,310.88,310.88,310.88,1.0,2.0
2014-05-16,Actual,289.28,289.28,289.28,289.28,2.0,8.0
2014-05-17,Actual,91.68,91.68,91.68,91.68,1.0,3.0
2014-05-18,Actual,948.948,948.948,948.948,948.948,3.0,10.0
2014-05-19,Actual,91.62,91.62,91.62,91.62,2.0,14.0
2014-05-20,Actual,320.10400000000004,320.10400000000004,320.10400000000004,320.10400000000004,2.0,32.0
2014-05-21,Actual,4264.328,4264.328,4264.328,4264.328,4.0,46.0
2014-05-22,Actual,180.93,180.93,180.93,180.93,1.0,3.0
2014-05-23,Actual,323.75800000000004,323.75800000000004,323.75800000000004,323.75800000000004,3.0,23.0
2014-05-24,Actual,116.28,116.28,116.28,116.28,1.0,3.0
2014-05-25,Actual,119.54,119.54,119.54,119.54,2.0,6.0
2014-05-26,Actual,1325.718,1325.718,1325.718,1325.718,4.0,21.0
2014-05-27,Actual,2157.394,2157.394,2157.394,2157.394,3.0,33.0
2014-05-28,Actual,221.968,221.968,221.968,221.968,2.0,14.0
2014-05-30,Actual,1924.913,1924.913,1924.913,1924.913,5.0,27.0
2014-05-31,Actual,773.7,773.7,773.7,773.7,1.0,6.0
2014-06-01,Actual,5188.52,5188.52,5188.52,5188.52,4.0,55.0
2014-06-02,Actual,738.598,738.598,738.598,738.598,2.0,16.0
2014-06-03,Actual,741.336,741.336,741.336,741.336,3.0,22.0
2014-06-04,Actual,456.272,456.272,456.272,456.272,2.0,12.0
2014-06-06,Actual,1374.0010000000002,1374.0010000000002,1374.0010000000002,1374.0010000000002,5.0,34.0
2014-06-07,Actual,281.397,281.397,281.397,281.397,2.0,6.0
2014-06-08,Actual,2501.264,2501.264,2501.264,2501.264,3.0,14.0
2014-06-09,Actual,5463.008,5463.008,5463.008,5463.008,5.0,66.0
2014-06-10,Actual,491.55,491.55,491.55,491.55,1.0,5.0
2014-06-13,Actual,14.52,14.52,14.52,14.52,1.0,3.0
2014-06-14,Actual,212.94,212.94,212.94,212.94,1.0,3.0
2014-06-15,Actual,942.974,942.974,942.974,942.974,2.0,11.0
2014-06-16,Actual,763.792,763.792,763.792,763.792,2.0,20.0
2014-06-17,Actual,3418.5020000000004,3418.5020000000004,3418.5020000000004,3418.5020000000004,3.0,16.0
2014-06-18,Actual,139.8,139.8,139.8,139.8,1.0,5.0
2014-06-20,Actual,1828.9496,1828.9496,1828.9496,1828.9496,2.0,32.0
2014-06-21,Actual,4107.443,4107.443,4107.443,4107.443,7.0,56.0
2014-06-22,Actual,1975.498,1975.498,1975.498,1975.498,4.0,26.0
2014-06-23,Actual,109.496,109.496,109.496,109.496,2.0,13.0
2014-06-24,Actual,4.272,4.272,4.272,4.272,1.0,2.0
2014-06-25,Actual,792.76,792.76,792.76,792.76,2.0,22.0
2014-06-27,Actual,616.14,616.14,616.14,616.14,1.0,10.0
2014-06-28,Actual,1645.791,1645.791,1645.791,1645.791,2.0,24.0
2014-06-29,Actual,46.68,46.68,46.68,46.68,2.0,10.0
2014-06-30,Actual,739.624,739.624,739.624,739.624,6.0,38.0
2014-07-01,Actual,601.0239999999999,601.0239999999999,601.0239999999999,601.0239999999999,2.0,13.0
2014-07-02,Actual,79.56,79.56,79.56,79.56,1.0,3.0
2014-07-04,Actual,247.408,247.408,247.408,247.408,2.0,14.0
2014-07-05,Actual,1444.104,1444.104,1444.104,1444.104,5.0,41.0
2014-07-06,Actual,1038.472,1038.472,1038.472,1038.472,2.0,3.0
2014-07-07,Actual,241.194,241.194,241.194,241.194,1.0,4.0
2014-07-08,Actual,763.0740000000001,763.0740000000001,763.0740000000001,763.0740000000001,2.0,10.0
2014-07-09,Actual,265.521,265.521,265.521,265.521,3.0,30.0
2014-07-11,Actual,2187.206,2187.206,2187.206,2187.206,4.0,43.0
2014-07-12,Actual,1960.012,1960.012,1960.012,1960.012,5.0,58.0
2014-07-13,Actual,351.216,351.216,351.216,351.216,1.0,3.0
2014-07-14,Actual,292.594,292.594,292.594,292.594,5.0,27.0
2014-07-15,Actual,9.51,9.51,9.51,9.51,1.0,6.0
2014-07-18,Actual,273.04,273.04,273.04,273.04,2.0,6.0
2014-07-19,Actual,461.326,461.326,461.326,461.326,2.0,8.0
2014-07-20,Actual,2285.786,2285.786,2285.786,2285.786,5.0,44.0
2014-07-21,Actual,1961.482,1961.482,1961.482,1961.482,3.0,24.0
2014-07-22,Actual,1348.344,1348.344,1348.344,1348.344,4.0,31.0
2014-07-23,Actual,2613.184,2613.184,2613.184,2613.184,3.0,43.0
2014-07-25,Actual,8341.289999999999,8341.289999999999,8341.289999999999,8341.289999999999,2.0,22.0
2014-07-26,Actual,5039.994,5039.994,5039.994,5039.994,5.0,76.0
2014-07-27,Actual,580.06,580.06,580.06,580.06,3.0,15.0
2014-07-28,Actual,193.152,193.152,193.152,193.152,1.0,18.0
2014-07-30,Actual,1367.84,1367.84,1367.84,1367.84,1.0,8.0
2014-08-01,Actual,228.328,228.328,228.328,228.328,3.0,15.0
2014-08-02,Actual,886.28,886.28,886.28,886.28,1.0,9.0
2014-08-03,Actual,477.994,477.994,477.994,477.994,3.0,20.0
2014-08-04,Actual,2743.154,2743.154,2743.154,2743.154,2.0,51.0
2014-08-05,Actual,2408.724,2408.724,2408.724,2408.724,5.0,37.0
2014-08-06,Actual,262.89,262.89,262.89,262.89,2.0,5.0
2014-08-08,Actual,3955.629,3955.629,3955.629,3955.629,5.0,55.0
2014-08-09,Actual,3605.685,3605.685,3605.685,3605.685,6.0,35.0
2014-08-11,Actual,451.62,451.62,451.62,451.62,2.0,5.0
2014-08-12,Actual,1832.38,1832.38,1832.38,1832.38,4.0,61.0
2014-08-15,Actual,842.7819999999999,842.7819999999999,842.7819999999999,842.7819999999999,4.0,38.0
2014-08-16,Actual,853.092,853.092,853.092,853.092,1.0,6.0
2014-08-17,Actual,500.342,500.342,500.342,500.342,2.0,23.0
2014-08-19,Actual,1439.106,1439.106,1439.106,1439.106,5.0,29.0
2014-08-20,Actual,1838.722,1838.722,1838.722,1838.722,2.0,18.0
2014-08-22,Actual,23.104,23.104,23.104,23.104,3.0,6.0
2014-08-23,Actual,565.224,565.224,565.224,565.224,4.0,44.0
2014-08-24,Actual,59.74,59.74,59.74,59.74,3.0,10.0
2014-08-25,Actual,1451.65,1451.65,1451.65,1451.65,5.0,67.0
2014-08-26,Actual,366.81,366.81,366.81,366.81,3.0,22.0
2014-08-27,Actual,2070.13,2070.13,2070.13,2070.13,3.0,23.0
2014-08-29,Actual,832.3225,832.3225,832.3225,832.3225,2.0,13.0
2014-08-30,Actual,121.24,121.24,121.24,121.24,1.0,8.0
2014-08-31,Actual,92.52,92.52,92.52,92.52,1.0,9.0
2014-09-01,Actual,469.436,469.436,469.436,469.436,3.0,17.0
2014-09-02,Actual,3254.15,3254.15,3254.15,3254.15,7.0,28.0
2014-09-03,Actual,22.08,22.08,22.08,22.08,2.0,10.0
2014-09-05,Actual,296.304,296.304,296.304,296.304,2.0,4.0
2014-09-06,Actual,100.36,100.36,100.36,100.36,1.0,14.0
2014-09-07,Actual,3523.875,3523.875,3523.875,3523.875,7.0,78.0
2014-09-08,Actual,14228.428,14228.428,14228.428,14228.428,11.0,112.0
2014-09-09,Actual,4043.588,4043.588,4043.588,4043.588,6.0,56.0
2014-09-10,Actual,1855.228,1855.228,1855.228,1855.228,3.0,23.0
2014-09-11,Actual,127.95,127.95,127.95,127.95,1.0,3.0
2014-09-12,Actual,4904.66,4904.66,4904.66,4904.66,6.0,39.0
2014-09-13,Actual,1275.408,1275.408,1275.408,1275.408,7.0,53.0
2014-09-14,Actual,5023.716,5023.716,5023.716,5023.716,6.0,77.0
2014-09-15,Actual,133.436,133.436,133.436,133.436,2.0,9.0
2014-09-16,Actual,33.552,33.552,33.552,33.552,1.0,1.0
2014-09-17,Actual,820.523,820.523,820.523,820.523,5.0,53.0
2014-09-19,Actual,9338.637,9338.637,9338.637,9338.637,7.0,38.0
2014-09-20,Actual,5335.968000000001,5335.968000000001,5335.968000000001,5335.968000000001,8.0,63.0
2014-09-21,Actual,2679.652,2679.652,2679.652,2679.652,7.0,55.0
2014-09-22,Actual,1240.266,1240.266,1240.266,1240.266,4.0,24.0
2014-09-23,Actual,10662.337,10662.337,10662.337,10662.337,7.0,48.0
2014-09-24,Actual,211.96,211.96,211.96,211.96,1.0,4.0
2014-09-25,Actual,354.88880000000006,354.88880000000006,354.88880000000006,354.88880000000006,2.0,16.0
2014-09-26,Actual,1480.614,1480.614,1480.614,1480.614,8.0,49.0
2014-09-27,Actual,773.4399999999999,773.4399999999999,773.4399999999999,773.4399999999999,2.0,10.0
2014-09-28,Actual,490.292,490.292,490.292,490.292,3.0,17.0
2014-09-29,Actual,8109.07,8109.07,8109.07,8109.07,5.0,73.0
2014-09-30,Actual,987.532,987.532,987.532,987.532,6.0,26.0
2014-10-01,Actual,4.71,4.71,4.71,4.71,1.0,1.0
2014-10-02,Actual,598.144,598.144,598.144,598.144,1.0,18.0
2014-10-03,Actual,862.683,862.683,862.683,862.683,5.0,37.0
2014-10-04,Actual,728.7479999999999,728.7479999999999,728.7479999999999,728.7479999999999,3.0,16.0
2014-10-05,Actual,191.9,191.9,191.9,191.9,2.0,7.0
2014-10-06,Actual,494.71,494.71,494.71,494.71,4.0,12.0
2014-10-07,Actual,237.36,237.36,237.36,237.36,2.0,15.0
2014-10-08,Actual,147.392,147.392,147.392,147.392,2.0,7.0
2014-10-09,Actual,249.36,249.36,249.36,249.36,2.0,6.0
2014-10-10,Actual,2049.386,2049.386,2049.386,2049.386,5.0,42.0
2014-10-11,Actual,1381.164,1381.164,1381.164,1381.164,5.0,33.0
2014-10-12,Actual,58.53,58.53,58.53,58.53,2.0,8.0
2014-10-13,Actual,2212.182,2212.182,2212.182,2212.182,4.0,35.0
2014-10-14,Actual,4525.484,4525.484,4525.484,4525.484,4.0,57.0
2014-10-15,Actual,206.724,206.724,206.724,206.724,2.0,5.0
2014-10-16,Actual,194.322,194.322,194.322,194.322,1.0,6.0
2014-10-17,Actual,136.068,136.068,136.068,136.068,2.0,10.0
2014-10-18,Actual,3134.916,3134.916,3134.916,3134.916,4.0,39.0
2014-10-19,Actual,641.104,641.104,641.104,641.104,3.0,27.0
2014-10-20,Actual,1501.104,1501.104,1501.104,1501.104,3.0,20.0
2014-10-21,Actual,1356.602,1356.602,1356.602,1356.602,3.0,20.0
2014-10-22,Actual,223.808,223.808,223.808,223.808,2.0,8.0
2014-10-24,Actual,56.49,56.49,56.49,56.49,3.0,8.0
2014-10-25,Actual,103.882,103.882,103.882,103.882,2.0,10.0
2014-10-26,Actual,447.88,447.88,447.88,447.88,1.0,9.0
2014-10-27,Actual,22.32,22.32,22.32,22.32,1.0,5.0
2014-10-28,Actual,1510.582,1510.582,1510.582,1510.582,2.0,19.0
2014-10-29,Actual,2813.8120000000004,2813.8120000000004,2813.8120000000004,2813.8120000000004,2.0,10.0
2014-10-31,Actual,5362.026,5362.026,5362.026,5362.026,5.0,83.0
2014-11-01,Actual,4732.08,4732.08,4732.08,4732.08,9.0,81.0
2014-11-02,Actual,2126.37,2126.37,2126.37,2126.37,6.0,49.0
2014-11-03,Actual,2784.163,2784.163,2784.163,2784.163,8.0,52.0
2014-11-04,Actual,6693.7480000000005,6693.7480000000005,6693.7480000000005,6693.7480000000005,6.0,50.0
2014-11-05,Actual,1694.564,1694.564,1694.564,1694.564,4.0,31.0
2014-11-06,Actual,43.68,43.68,43.68,43.68,1.0,6.0
2014-11-07,Actual,1449.142,1449.142,1449.142,1449.142,6.0,57.0
2014-11-08,Actual,333.576,333.576,333.576,333.576,1.0,3.0
2014-11-09,Actual,1574.094,1574.094,1574.094,1574.094,2.0,36.0
2014-11-10,Actual,2002.556,2002.556,2002.556,2002.556,2.0,49.0
2014-11-11,Actual,8114.548,8114.548,8114.548,8114.548,9.0,93.0
2014-11-12,Actual,1054.7612,1054.7612,1054.7612,1054.7612,5.0,35.0
2014-11-14,Actual,1034.73,1034.73,1034.73,1034.73,5.0,37.0
2014-11-15,Actual,1780.822,1780.822,1780.822,1780.822,4.0,29.0
2014-11-16,Actual,1355.9285,1355.9285,1355.9285,1355.9285,5.0,36.0
2014-11-17,Actual,11544.274,11544.274,11544.274,11544.274,7.0,58.0
2014-11-18,Actual,3406.855,3406.855,3406.855,3406.855,9.0,76.0
2014-11-19,Actual,7226.086,7226.086,7226.086,7226.086,7.0,51.0
2014-11-20,Actual,907.56,907.56,907.56,907.56,1.0,16.0
2014-11-21,Actual,1249.622,1249.622,1249.622,1249.622,4.0,24.0
2014-11-22,Actual,1103.298,1103.298,1103.298,1103.298,5.0,30.0
2014-11-23,Actual,1363.28,1363.28,1363.28,1363.28,7.0,36.0
2014-11-24,Actual,5578.606,5578.606,5578.606,5578.606,11.0,75.0
2014-11-25,Actual,4415.695,4415.695,4415.695,4415.695,6.0,58.0
2014-11-26,Actual,1705.99,1705.99,1705.99,1705.99,5.0,52.0
2014-11-27,Actual,203.66,203.66,203.66,203.66,2.0,7.0
2014-11-28,Actual,2280.83,2280.83,2280.83,2280.83,7.0,55.0
2014-11-29,Actual,649.044,649.044,649.044,649.044,4.0,13.0
2014-11-30,Actual,219.154,219.154,219.154,219.154,3.0,24.0
2014-12-01,Actual,5624.39,5624.39,5624.39,5624.39,6.0,46.0
2014-12-02,Actual,1771.808,1771.808,1771.808,1771.808,6.0,64.0
2014-12-03,Actual,505.88,505.88,505.88,505.88,2.0,8.0
2014-12-04,Actual,129.98,129.98,129.98,129.98,1.0,2.0
2014-12-05,Actual,2963.642,2963.642,2963.642,2963.642,7.0,69.0
2014-12-06,Actual,1970.978,1970.978,1970.978,1970.978,5.0,36.0
2014-12-07,Actual,548.4,548.4,548.4,548.4,4.0,17.0
2014-12-08,Actual,1095.12,1095.12,1095.12,1095.12,4.0,53.0
2014-12-09,Actual,1522.652,1522.652,1522.652,1522.652,5.0,28.0
2014-12-10,Actual,573.336,573.336,573.336,573.336,2.0,20.0
2014-12-12,Actual,4938.4045,4938.4045,4938.4045,4938.4045,5.0,36.0
2014-12-13,Actual,293.152,293.152,293.152,293.152,5.0,18.0
2014-12-14,Actual,7641.658,7641.658,7641.658,7641.658,5.0,23.0
2014-12-15,Actual,1264.466,1264.466,1264.466,1264.466,4.0,19.0
2014-12-16,Actual,4394.187,4394.187,4394.187,4394.187,8.0,63.0
2014-12-17,Actual,45.534,45.534,45.534,45.534,2.0,7.0
2014-12-19,Actual,3436.76,3436.76,3436.76,3436.76,4.0,53.0
2014-12-20,Actual,6962.4400000000005,6962.4400000000005,6962.4400000000005,6962.4400000000005,10.0,81.0
2014-12-21,Actual,1933.44,1933.44,1933.44,1933.44,3.0,17.0
2014-12-22,Actual,798.968,798.968,798.968,798.968,4.0,32.0
2014-12-23,Actual,942.108,942.108,942.108,942.108,4.0,29.0
2014-12-24,Actual,1950.202,1950.202,1950.202,1950.202,5.0,32.0
2014-12-26,Actual,2041.414,2041.414,2041.414,2041.414,7.0,55.0
2014-12-27,Actual,2966.388,2966.388,2966.388,2966.388,9.0,65.0
2014-12-28,Actual,3732.296,3732.296,3732.296,3732.296,3.0,33.0
2014-12-29,Actual,2072.096,2072.096,2072.096,2072.096,7.0,67.0
2014-12-30,Actual,2172.6510000000003,2172.6510000000003,2172.6510000000003,2172.6510000000003,7.0,43.0
2014-12-31,Actual,5253.27,5253.27,5253.27,5253.27,7.0,63.0
2015-01-02,Actual,1932.096,1932.096,1932.096,1932.096,2.0,29.0
2015-01-03,Actual,1768.2216,1768.2216,1768.2216,1768.2216,2.0,19.0
2015-01-04,Actual,264.46000000000004,264.46000000000004,264.46000000000004,264.46000000000004,2.0,22.0
2015-01-05,Actual,295.272,295.272,295.272,295.272,3.0,20.0
2015-01-06,Actual,31.538,31.538,31.538,31.538,1.0,7.0
2015-01-09,Actual,364.07,364.07,364.07,364.07,1.0,13.0
2015-01-10,Actual,1018.104,1018.104,1018.104,1018.104,1.0,4.0
2015-01-12,Actual,854.614,854.614,854.614,854.614,2.0,16.0
2015-01-13,Actual,622.278,622.278,622.278,622.278,2.0,18.0
2015-01-17,Actual,350.384,350.384,350.384,350.384,3.0,17.0
2015-01-19,Actual,301.742,301.742,301.742,301.742,1.0,5.0
2015-01-23,Actual,43.66,43.66,43.66,43.66,1.0,5.0
2015-01-24,Actual,13.12,13.12,13.12,13.12,1.0,5.0
2015-01-26,Actual,182.72,182.72,182.72,182.72,1.0,8.0
2015-01-27,Actual,3573.252,3573.252,3573.252,3573.252,2.0,12.0
2015-01-28,Actual,4297.644,4297.644,4297.644,4297.644,1.0,13.0
2015-01-30,Actual,2161.6400000000003,2161.6400000000003,2161.6400000000003,2161.6400000000003,2.0,16.0
2015-01-31,Actual,99.26,99.26,99.26,99.26,1.0,7.0
2015-02-03,Actual,492.836,492.836,492.836,492.836,5.0,22.0
2015-02-06,Actual,2432.544,2432.544,2432.544,2432.544,4.0,34.0
2015-02-07,Actual,324.11,324.11,324.11,324.11,1.0,7.0
2015-02-08,Actual,129.09199999999998,129.09199999999998,129.09199999999998,129.09199999999998,2.0,8.0
2015-02-09,Actual,785.5519999999999,785.5519999999999,785.5519999999999,785.5519999999999,4.0,19.0
2015-02-10,Actual,77.24,77.24,77.24,77.24,1.0,5.0
2015-02-14,Actual,1079.962,1079.962,1079.962,1079.962,2.0,23.0
2015-02-15,Actual,1602.38,1602.38,1602.38,1602.38,2.0,31.0
2015-02-16,Actual,160.43,160.43,160.43,160.43,2.0,16.0
2015-02-18,Actual,105.844,105.844,105.844,105.844,2.0,6.0
2015-02-20,Actual,316.78000000000003,316.78000000000003,316.78000000000003,316.78000000000003,2.0,8.0
2015-02-21,Actual,2591.1,2591.1,2591.1,2591.1,2.0,6.0
2015-02-22,Actual,79.36,79.36,79.36,79.36,1.0,4.0
2015-02-23,Actual,37.776,37.776,37.776,37.776,1.0,8.0
2015-02-25,Actual,25.87,25.87,25.87,25.87,1.0,5.0
2015-02-27,Actual,1159.2710000000002,1159.2710000000002,1159.2710000000002,1159.2710000000002,3.0,27.0
2015-02-28,Actual,551.264,551.264,551.264,551.264,1.0,10.0
2015-03-01,Actual,1642.1744,1642.1744,1642.1744,1642.1744,5.0,23.0
2015-03-02,Actual,899.5699999999999,899.5699999999999,899.5699999999999,899.5699999999999,2.0,10.0
2015-03-05,Actual,1969.267,1969.267,1969.267,1969.267,7.0,57.0
2015-03-06,Actual,1555.244,1555.244,1555.244,1555.244,1.0,9.0
2015-03-07,Actual,807.54,807.54,807.54,807.54,1.0,10.0
2015-03-08,Actual,2563.2960000000003,2563.2960000000003,2563.2960000000003,2563.2960000000003,4.0,29.0
2015-03-09,Actual,478.008,478.008,478.008,478.008,2.0,10.0
2015-03-10,Actual,90.932,90.932,90.932,90.932,2.0,8.0
2015-03-12,Actual,51.016000000000005,51.016000000000005,51.016000000000005,51.016000000000005,2.0,12.0
2015-03-13,Actual,1384.856,1384.856,1384.856,1384.856,2.0,14.0
2015-03-14,Actual,707.9000000000001,707.9000000000001,707.9000000000001,707.9000000000001,2.0,10.0
2015-03-15,Actual,16.776,16.776,16.776,16.776,1.0,3.0
2015-03-16,Actual,7230.209999999999,7230.209999999999,7230.209999999999,7230.209999999999,6.0,27.0
2015-03-17,Actual,48.84,48.84,48.84,48.84,1.0,3.0
2015-03-19,Actual,5652.9396,5652.9396,5652.9396,5652.9396,7.0,45.0
2015-03-20,Actual,1548.194,1548.194,1548.194,1548.194,4.0,40.0
2015-03-21,Actual,1270.379,1270.379,1270.379,1270.379,1.0,21.0
2015-03-22,Actual,2481.424,2481.424,2481.424,2481.424,5.0,43.0
2015-03-23,Actual,633.302,633.302,633.302,633.302,4.0,28.0
2015-03-24,Actual,412.95,412.95,412.95,412.95,3.0,10.0
2015-03-26,Actual,4623.37,4623.37,4623.37,4623.37,4.0,30.0
2015-03-27,Actual,83.7,83.7,83.7,83.7,1.0,5.0
2015-03-28,Actual,243.344,243.344,243.344,243.344,3.0,13.0
2015-03-29,Actual,1559.0800000000002,1559.0800000000002,1559.0800000000002,1559.0800000000002,5.0,30.0
